source_pool,model_id,threshold_id,split,pit_transition_context,transition_outcome_label,transition_outcome_direction,selection_bucket,event_n,unique_segment_n,horizon_complete_event_n,cost_bad_10_20_rate,fast_fail_bad_10d_rate,false_repair_bad_20d_rate,readout_only_not_used_for_training
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,1877,6,1877,0.39158231220031964,0.2658497602557272,0.35801811401172084,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,472,3,472,0.3326271186440678,0.1843220338983051,0.3241525423728814,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,1693,4,1693,0.24394565859421147,0.1364441819255759,0.2262256349675133,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,1626,4,1626,0.23985239852398524,0.13468634686346864,0.22263222632226323,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,67,1,67,0.34328358208955223,0.1791044776119403,0.31343283582089554,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,3735,8,3733,0.2973479774979909,0.18001607286364854,0.28181087597106885,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,1801,4,1800,0.2827777777777778,0.14777777777777779,0.2683333333333333,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,1934,6,1933,0.3109156751163994,0.21003621314019658,0.2943610967408174,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,1033,4,1033,0.40174249757986447,0.26137463697967084,0.38915779283639884,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,selected,394,2,394,0.5329949238578681,0.37817258883248733,0.5203045685279187,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,rejected,639,4,639,0.3208137715179969,0.18935837245696402,0.3082942097026604,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,all_prefilter,1111,5,1110,0.345045045045045,0.17927927927927928,0.3333333333333333,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,selected,1048,5,1047,0.34765998089780326,0.1766953199617956,0.335243553008596,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,63,1,63,0.30158730158730157,0.2222222222222222,0.30158730158730157,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,1364,3,1362,0.24155653450807635,0.15051395007342144,0.21659324522760645,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,703,3,701,0.3209700427960057,0.21683309557774608,0.29243937232524964,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,661,1,661,0.1573373676248109,0.08018154311649017,0.1361573373676248,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,2303,17,2302,0.15030408340573415,0.10729800173761946,0.12814943527367506,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,1170,4,1170,0.12393162393162394,0.10170940170940171,0.09914529914529914,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,1133,14,1132,0.1775618374558304,0.11307420494699646,0.15812720848056538,True
transition_previous_regime_primary,transition_cost_rejector_context_only,transition_cost_rejector_context_only__keep_0700,robustness,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,829,2,829,0.3606755126658625,0.218335343787696,0.3474065138721351,True
