split,anchor_family_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,diagnostic_bucket_source,baseline_id,anchor_event_count,baseline_event_count,unique_instrument_year_count,anchor_mean_after_cost_return_H20,baseline_mean_after_cost_return_H20,mean_diff_vs_baseline,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_instrument_year_positive_rate,baseline_instrument_year_positive_rate,interpretation_status
robustness,second_breakout,industry_bucket,有色金属,P05_PART_e5a1accd8911,linked_anchor,matched_delay_baseline,3,3,3,0.023408464414852077,0.07182616663033096,-0.04841770221547889,-0.13415070430934578,-0.030630472566044457,-0.10352023174330133,0.6666666666666666,0.6666666666666666,too_sparse
robustness,second_breakout,industry_bucket,机械设备,P05_PART_1e1dc3e0ab2d,linked_anchor,matched_delay_baseline,1,1,1,0.01866102265676973,0.054250351803066706,-0.03558932914629698,0.01866102265676973,0.054250351803066706,-0.03558932914629698,1.0,1.0,too_sparse
robustness,second_breakout,industry_bucket,汽车,P05_PART_ca1964526ecf,linked_anchor,matched_delay_baseline,6,6,6,-0.03920815525070964,-0.042854353336876184,0.0036461980861665425,-0.12186302133214028,-0.14742186034541258,0.0255588390132723,0.3333333333333333,0.16666666666666666,too_sparse
robustness,second_breakout,industry_bucket,煤炭,P05_PART_e14d8d96dc55,linked_anchor,matched_delay_baseline,1,1,1,0.1258861506155734,0.2292061824249224,-0.10332003180934901,0.1258861506155734,0.2292061824249224,-0.10332003180934901,1.0,1.0,too_sparse
robustness,second_breakout,industry_bucket,电力设备,P05_PART_029d2f3a704b,linked_anchor,matched_delay_baseline,1,1,1,-0.04754828389944154,-0.04485424479427957,-0.0026940391051619716,-0.04754828389944154,-0.04485424479427957,-0.0026940391051619716,0.0,0.0,too_sparse
robustness,second_breakout,industry_bucket,电子,P05_PART_06cd7c59519e,linked_anchor,matched_delay_baseline,10,10,9,0.017811676145382642,0.028084003700791626,-0.010272327555408984,-0.11959677624496137,-0.10067547532307403,-0.018921300921887346,0.6666666666666666,0.3333333333333333,too_sparse
robustness,second_breakout,industry_bucket,石油石化,P05_PART_b026189cf5cb,linked_anchor,matched_delay_baseline,1,1,1,-0.07340000406901037,-0.06380170099329086,-0.009598303075719516,-0.07340000406901037,-0.06380170099329086,-0.009598303075719516,0.0,0.0,too_sparse
robustness,second_breakout,industry_bucket,计算机,P05_PART_3c695642a3b4,linked_anchor,matched_delay_baseline,3,3,3,0.01477317941555249,0.006946410940930595,0.007826768474621895,-0.14290371358271425,-0.03874928148478172,-0.10415443209793254,0.3333333333333333,0.6666666666666666,too_sparse
robustness,second_breakout,industry_bucket,轻工制造,P05_PART_e1d9610a174b,linked_anchor,matched_delay_baseline,1,1,1,0.05386783001184659,-0.07433282169494049,0.12820065170678707,0.05386783001184659,-0.07433282169494049,0.12820065170678707,1.0,0.0,too_sparse
robustness,second_breakout,industry_bucket,通信,P05_PART_2199aca9574e,linked_anchor,matched_delay_baseline,3,3,3,-0.041276046347307416,0.04724185836113382,-0.08851790470844123,-0.10302226735264707,-0.023594188472782586,-0.07942807887986447,0.3333333333333333,0.6666666666666666,too_sparse
robustness,second_breakout,industry_bucket,银行,P05_PART_554709790ba9,linked_anchor,matched_delay_baseline,3,3,2,-0.060316949398905195,-0.03267042145744606,-0.027646527941459137,-0.08989105981152386,-0.06388251827736638,-0.02600854153415748,0.0,0.5,too_sparse
robustness,second_breakout,industry_bucket,非银金融,P05_PART_fa21c42ca5ce,linked_anchor,matched_delay_baseline,8,8,8,-0.003945040231115811,0.015695450572037396,-0.019640490803153207,-0.054714068386958616,-0.07037683163073541,0.015662763243776794,0.375,0.5,too_sparse
robustness,second_breakout,industry_bucket,食品饮料,P05_PART_d33431c59d85,linked_anchor,matched_delay_baseline,1,1,1,-0.14290896711626522,-0.05087240942552706,-0.09203655769073815,-0.14290896711626522,-0.05087240942552706,-0.09203655769073815,0.0,0.0,too_sparse
robustness,second_breakout,money_bucket,1,P05_PART_9c1df3bb564c,linked_anchor,matched_delay_baseline,1,1,1,-0.14120832815931927,-0.0027258044316095147,-0.13848252372770975,-0.14120832815931927,-0.0027258044316095147,-0.13848252372770975,0.0,0.0,too_sparse
robustness,second_breakout,money_bucket,2,P05_PART_239208c4d0f9,linked_anchor,matched_delay_baseline,4,4,4,0.014110861543929766,0.02463532482515951,-0.010524463281229744,-0.0698765830160624,-0.07275315358969305,0.002876570573630652,0.5,0.5,too_sparse
robustness,second_breakout,money_bucket,3,P05_PART_556b169e12b1,linked_anchor,matched_delay_baseline,4,4,4,-0.034578289023969554,-0.03201534707719585,-0.0025629419467737002,-0.07987267876093225,-0.12054192754808653,0.04066924878715428,0.25,0.25,too_sparse
robustness,second_breakout,money_bucket,4,P05_PART_481390dbfb50,linked_anchor,matched_delay_baseline,48,48,47,-0.009790640062651101,-0.0018828268706779546,-0.007907813191973147,-0.15647265705786045,-0.10811499252254363,-0.04835766453531683,0.425531914893617,0.3404255319148936,interpretable
robustness,second_breakout,vol20_bucket,0,P05_PART_8a57903b6903,linked_anchor,matched_delay_baseline,4,4,4,0.061065881816044616,-0.04133845164892477,0.10240433346496938,-0.046801946175686476,-0.09130955352085891,0.04450760734517244,0.5,0.25,too_sparse
robustness,second_breakout,vol20_bucket,1,P05_PART_fd87db9809b4,linked_anchor,matched_delay_baseline,6,6,6,-0.027118650539858846,0.029877014304405796,-0.056995664844264646,-0.12688543193000829,-0.07672881888954267,-0.05015661304046562,0.3333333333333333,0.3333333333333333,too_sparse
robustness,second_breakout,vol20_bucket,2,P05_PART_078d718fac0c,linked_anchor,matched_delay_baseline,14,14,14,-0.038828256003659634,-0.0025143324680194277,-0.036313923535640204,-0.1416977766586334,-0.11133397532959768,-0.03036380132903571,0.2857142857142857,0.35714285714285715,too_sparse
robustness,second_breakout,vol20_bucket,3,P05_PART_194ac7ca9f6f,linked_anchor,matched_delay_baseline,15,15,15,-0.027409091015016998,0.014316821948617707,-0.041725912963634704,-0.15774329513859323,-0.0702464974738756,-0.08749679766471763,0.4,0.4666666666666667,too_sparse
robustness,second_breakout,vol20_bucket,4,P05_PART_34b3514cf6c1,linked_anchor,matched_delay_baseline,18,18,18,0.01000842023137407,-0.01756008539666811,0.02756850562804218,-0.13140049726247957,-0.12808517863421823,-0.0033153186282613434,0.5555555555555556,0.2777777777777778,too_sparse
robustness,second_breakout,ret_60d_bucket,3,P05_PART_7413d8b18e92,linked_anchor,matched_delay_baseline,7,7,7,-0.009100750659514592,-0.01954828267803358,0.010447532018518989,-0.15320864115749885,-0.052435379467846106,-0.10077326168965275,0.42857142857142855,0.14285714285714285,too_sparse
robustness,second_breakout,ret_60d_bucket,4,P05_PART_d6b7492c072c,linked_anchor,matched_delay_baseline,50,50,49,-0.012586470129402583,0.00028432791027876715,-0.01287079803968135,-0.14913295639403026,-0.11653859439773948,-0.03259436199629079,0.40816326530612246,0.3673469387755102,interpretable
robustness,second_breakout,all,all,not_applicable,linked_anchor,same_instrument_nonanchor_baseline,45,45,44,-0.01002644663767969,0.04152757241853329,-0.05155401905621298,-0.15696556996527902,-0.13399112618607273,-0.022974443779206294,0.4090909090909091,0.5681818181818182,interpretable
robustness,second_breakout,anchor_window_position_bucket,0.025_0.1,P05_PART_bfc88333615b,linked_anchor,same_instrument_nonanchor_baseline,13,13,13,0.0050315509286365245,0.04854466620561788,-0.04351311527698135,-0.11308333577923091,-0.09166322758202164,-0.02142010819720927,0.5384615384615384,0.6153846153846154,too_sparse
