membership_date,board_bucket,listed_instrument_count,candidate_with_daily_bar_count,excluded_missing_daily_bar_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,excluded_missing_market_cap_count,eligible_count,status_source
2017-05-11,chinext,635,547,88,0,0,0,0,140,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-11,main_board,2586,2244,342,0,55,0,0,1421,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-12,chinext,635,544,91,0,0,0,0,139,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-12,main_board,2587,2244,343,0,53,0,0,1421,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-15,chinext,635,542,93,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-15,main_board,2590,2245,345,0,53,0,0,1423,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-16,chinext,637,541,96,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-16,main_board,2591,2241,350,0,53,0,0,1420,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-17,chinext,637,541,96,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-17,main_board,2593,2245,348,0,51,0,0,1424,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-18,chinext,637,541,96,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-18,main_board,2593,2249,344,0,50,0,0,1428,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-19,chinext,638,542,96,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-19,main_board,2596,2261,335,0,50,0,0,1436,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-22,chinext,638,542,96,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-22,main_board,2597,2261,336,0,49,0,0,1435,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-23,chinext,640,543,97,0,0,0,0,137,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-23,main_board,2597,2263,334,0,48,0,0,1436,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-24,chinext,640,543,97,0,0,0,0,137,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-24,main_board,2598,2267,331,0,49,0,0,1441,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-25,chinext,640,544,96,0,0,0,0,137,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-25,main_board,2600,2263,337,0,48,0,0,1438,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-26,chinext,641,546,95,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-26,main_board,2600,2264,336,0,48,0,0,1438,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-05-31,chinext,641,546,95,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-05-31,main_board,2601,2264,337,0,49,0,0,1439,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-01,chinext,641,546,95,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-01,main_board,2603,2261,342,0,49,0,0,1437,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-06-02,chinext,643,548,95,0,0,0,0,138,stock_info_sz_change_name_asof;daily_bar_presence
2017-06-02,main_board,2604,2258,346,0,49,0,0,1435,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
