stage,model_id,seed,split,board_bucket,calendar_month,model_budget,random_denominator_n,random_selected_n,sample_weight_sum,random_rate,retention_rank_rule
stage_2,logistic_regression_l2,120600,train,main_board,2021-07,0.6,37,22,37.0,0.3181818181818182,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-08,0.4588235294117647,73,33,73.0,0.18181818181818182,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-09,0.24358974358974358,53,12,53.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-10,0.76,17,12,17.0,0.08333333333333333,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-11,0.6567164179104478,70,45,70.0,0.044444444444444446,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,train,main_board,2021-12,0.4968944099378882,137,68,137.0,0.058823529411764705,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2022-01,0.0,1,0,1.0,,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2022-06,1.0,1,1,1.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2022-07,0.6,7,4,7.0,0.25,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2022-08,0.5384615384615384,12,6,12.0,0.0,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2022-11,0.5,5,2,5.0,0.5,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2022-12,0.3333333333333333,16,5,16.0,0.2,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
stage_2,logistic_regression_l2,120600,validation,chinext,2023-01,0.6,67,40,67.0,0.1,"replacement_draw_index,sample_draw_id,instrument,random_trade_open_date,path_key"
