scope,instrument,year,board_bucket,qfq_key_n,raw_key_n,overlap_key_n,overlap_rate,base_row_n,factor_pass_n,factor_fail_n,factor_unknown_n,factor_pass_rate,auditable_row_n,auditable_row_rate,in_range_n,out_of_range_n,unknown_n,range_pass_rate,coverage_threshold,range_threshold,status
instrument_year,SH600025,2024,main_board,242,242,242,1,242,2,240,0,0.00826446280992,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600025,2025,main_board,243,243,243,1,243,136,107,0,0.559670781893,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600025,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2017,main_board,241,241,241,1,241,0,241,0,0,241,1,241,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2018,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2019,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2020,main_board,243,243,243,1,243,4,239,0,0.0164609053498,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2021,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2022,main_board,242,242,242,1,242,9,233,0,0.0371900826446,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2023,main_board,242,242,242,1,242,12,230,0,0.0495867768595,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2024,main_board,242,242,242,1,242,12,230,0,0.0495867768595,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2025,main_board,243,243,243,1,243,129,114,0,0.530864197531,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600026,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2017,main_board,244,244,244,1,244,0,244,0,0,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2018,main_board,243,243,243,1,243,0,243,0,0,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2019,main_board,244,244,244,1,244,3,241,0,0.0122950819672,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2020,main_board,243,243,243,1,243,2,241,0,0.0082304526749,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2021,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2022,main_board,242,242,242,1,242,2,240,0,0.00826446280992,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2023,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600027,2024,main_board,232,232,232,1,232,1,231,0,0.00431034482759,232,1,232,0,0,1,0.9,0.995,pass
