split_bucket,denominator_type,operating_point_id,score_action_bucket,label_class,row_n,row_share,mean_y_payoff_h20,mean_continue_value,mean_defend_value,mean_defend_advantage,sum_incremental_return,mean_incremental_return_on_full_denominator,positive_opportunity_cost,negative_avoidance_gain,neutral_contribution,continued_positive_retained,continued_negative_leakage,decomposition_status,blocking_reason
train,labelable_full,defend_bottom40_continue_rest,continued,negative,2465,0.12175845887873549,-0.09890040700641556,-0.09890040700641556,-0.005,0.09390040700641557,0.0,0.0,0.0,0.0,0.0,0.0,0.012628690915897129,pass,
train,labelable_full,defend_bottom40_continue_rest,continued,neutral,3037,0.150012348728081,-0.03965665530562066,-0.03965665530562066,-0.004999999999999999,0.03465665530562066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom40_continue_rest,defended,positive,656,0.26282051282051283,0.1151319373420312,0.1151319373420312,-0.004999999999999999,-0.12013193734203119,-78.80655089637246,-0.03157313737835435,0.03157313737835435,0.0,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom40_continue_rest,defended,negative,346,0.13862179487179488,-0.09380547843114323,-0.09380547843114323,-0.004999999999999999,0.08880547843114324,30.72669553717556,0.012310374814573541,0.0,0.013890346941269905,0.0,0.0,0.0,pass,
robustness,labelable_full,defend_bottom40_continue_rest,defended,neutral,346,0.13862179487179488,-0.04014882821848866,-0.04014882821848866,-0.004999999999999999,0.03514882821848867,12.16149456359708,0.0048723936552872915,0.0,0.0,0.0048723936552872915,0.0,0.0,pass,
robustness,labelable_full,defend_bottom40_continue_rest,continued,positive,690,0.2764423076923077,0.12338635971469253,0.12338635971469253,-0.004999999999999999,-0.1283863597146925,0.0,0.0,0.0,0.0,0.0,0.03549142155574433,0.0,pass,
robustness,labelable_full,defend_bottom40_continue_rest,continued,negative,180,0.07211538461538461,-0.09097963268077093,-0.09097963268077093,-0.004999999999999999,0.08597963268077095,0.0,0.0,0.0,0.0,0.0,0.0,0.006871204952297691,pass,
robustness,labelable_full,defend_bottom40_continue_rest,continued,neutral,278,0.11137820512820513,-0.03915139935182362,-0.03915139935182362,-0.004999999999999999,0.034151399351823625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom40_continue_rest,defended,positive,105,0.15813253012048192,0.1411932046769052,0.1411932046769052,-0.004999999999999999,-0.14619320467690514,-15.35028649107504,-0.023117901341980482,0.023117901341980482,0.0,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom40_continue_rest,defended,negative,93,0.14006024096385541,-0.10992277363706673,-0.10992277363706673,-0.004999999999999999,0.10492277363706676,9.757817948247208,0.014695508958203627,0.0,0.015195430248465524,0.0,0.0,0.0,pass,
validation,labelable_full,defend_bottom40_continue_rest,defended,neutral,63,0.09487951807228916,-0.04621065843029189,-0.04621065843029189,-0.005000000000000001,0.0412106584302919,2.5962714811083893,0.003910047411307815,0.0,0.0,0.003910047411307815,0.0,0.0,pass,
validation,labelable_full,defend_bottom40_continue_rest,continued,positive,220,0.3313253012048193,0.13269178122945913,0.13269178122945913,-0.004999999999999999,-0.1376917812294591,0.0,0.0,0.0,0.0,0.0,0.045620770889278614,0.0,pass,
validation,labelable_full,defend_bottom40_continue_rest,continued,negative,87,0.13102409638554216,-0.10625879690634417,-0.10625879690634417,-0.005,0.10125879690634415,0.0,0.0,0.0,0.0,0.0,0.0,0.0144408075437348,pass,
validation,labelable_full,defend_bottom40_continue_rest,continued,neutral,96,0.14457831325301204,-0.04353786981982701,-0.04353786981982701,-0.004999999999999999,0.03853786981982702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom50_continue_rest,defended,positive,4434,0.2190170412447518,0.10489110932728936,0.10489110932728936,-0.004999999999999999,-0.10989110932728934,-487.2571787572009,-0.024068025623966455,0.024068025623966455,0.0,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom50_continue_rest,defended,negative,2883,0.1424055322301803,-0.110877000421691,-0.110877000421691,-0.005,0.10587700042169101,305.2433922157352,0.015077470595985932,0.0,0.016149148643264832,0.0,0.0,0.0,pass,
train,labelable_full,defend_bottom50_continue_rest,defended,neutral,2806,0.13860212398122992,-0.040429701476570504,-0.040429701476570504,-0.004999999999999999,0.035429701476570506,99.41574234325684,0.00491063187667359,0.0,0.0,0.00491063187667359,0.0,0.0,pass,
train,labelable_full,defend_bottom50_continue_rest,continued,positive,5644,0.27878488515682887,0.12032866109065943,0.12032866109065943,-0.005,-0.12532866109065943,0.0,0.0,0.0,0.0,0.0,0.03493973638901861,0.0,pass,
train,labelable_full,defend_bottom50_continue_rest,continued,negative,2001,0.09883921956038529,-0.09979650511152768,-0.09979650511152768,-0.005,0.09479650511152768,0.0,0.0,0.0,0.0,0.0,0.0,0.01024443283681619,pass,
train,labelable_full,defend_bottom50_continue_rest,continued,neutral,2477,0.12235119782662386,-0.039559093199890434,-0.039559093199890434,-0.005,0.03455909319989044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pass,
