split,anchor_family_id,baseline_id,diagnostic_axis,diagnostic_bucket,diagnostic_bucket_source,anchor_event_count,baseline_event_count,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_max_adverse_excursion_mean_H20,baseline_max_adverse_excursion_mean_H20,mae_worsening_vs_baseline,top1_instrument_year_pnl_share,top5_instrument_exposure_share,interpretation_status
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,计算机,linked_deferred_event,9,9,-0.1280352692149098,-0.062771817692693,-0.0652634515222168,-0.11278702406485237,-0.06748655438835217,-0.0453004696765002,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,通信,linked_deferred_event,2,2,0.08341506718035037,0.20030446613174857,-0.1168893989513982,-0.03300017168360203,-0.03535483453852717,0.002354662854925138,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,钢铁,linked_deferred_event,6,5,-0.14114623359713177,0.19442626960144133,-0.3355725031985731,-0.10980999399056941,-0.019529697055052565,-0.09028029693551684,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,银行,linked_deferred_event,13,13,-0.09926002642876582,-0.08458572624111818,-0.014674300187647635,-0.10787774480235253,-0.05354507026893983,-0.0543326745334127,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,非银金融,linked_deferred_event,40,36,-0.1680912984554525,-0.11458292314117371,-0.053508375314278794,-0.11546019514345104,-0.05093980084532646,-0.06452039429812459,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,industry_bucket,食品饮料,linked_deferred_event,12,12,-0.12582634188153669,-0.02949475860559604,-0.09633158327594064,-0.08440050618091256,-0.04399969574569701,-0.04040081043521555,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,year_bucket,2017,linked_deferred_event,2,6,0.0025274037291866175,0.00844640720850176,-0.005919003479315143,-0.03898476436794074,-0.03856140621981363,-0.0004233581481271065,,,too_sparse
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,year_bucket,2018,linked_deferred_event,27,24,-0.21203963457932626,-0.16988894719003667,-0.04215068738928959,-0.1254809349450467,-0.07656320698129336,-0.048917727963753335,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,year_bucket,2019,linked_deferred_event,63,62,-0.167547039491673,-0.07690584022401009,-0.0906411992676629,-0.09686442178133053,-0.04705227937929031,-0.049812142402040224,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,year_bucket,2020,linked_deferred_event,76,85,-0.1535488790767719,-0.08548923014300217,-0.06805964893376973,-0.10470831239471616,-0.055049053084021006,-0.049659259310695154,,,interpretable
train,failed_lookalike_avoidance,same_instrument_nonanchor_baseline,year_bucket,2021,linked_deferred_event,85,41,-0.23406897964024048,-0.09626620304428246,-0.13780277659595802,-0.12946848001358693,-0.05671246348844158,-0.07275601652514535,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,all,all,linked_deferred_event,253,214,-0.19218401404643143,-0.17446480826580194,-0.017719205780629493,-0.11277101141355447,-0.10127232792804042,-0.011498683485514055,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,failure_margin_bucket,all,linked_deferred_event,0,214,,-0.17446480826580194,,,-0.10127232792804042,,,,too_sparse
train,failed_lookalike_avoidance,industry_matched_baseline,failure_margin_bucket,q0,linked_deferred_event,59,0,-0.24994377000228166,,,-0.12110432764346028,,,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,failure_margin_bucket,q1,linked_deferred_event,37,0,-0.16536668050490366,,,-0.1200600558685445,,,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,failure_margin_bucket,q2,linked_deferred_event,61,0,-0.1674990977458537,,,-0.11188047198866434,,,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,failure_margin_bucket,q3,linked_deferred_event,96,0,-0.18807492868332942,,,-0.10540603852312976,,,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,money_bucket,1,linked_deferred_event,11,10,-0.09023137088488825,-0.08798061400316899,-0.0022507568817192597,-0.070094957116491,-0.061525043448629024,-0.008569913667861973,,,too_sparse
train,failed_lookalike_avoidance,industry_matched_baseline,money_bucket,2,linked_deferred_event,17,14,-0.18485294989950682,-0.14548160956045136,-0.039371340339055455,-0.10380112501649905,-0.0805271125346865,-0.023274012481812545,,,too_sparse
train,failed_lookalike_avoidance,industry_matched_baseline,money_bucket,3,linked_deferred_event,61,51,-0.1674990977458537,-0.14722161502842646,-0.020277482717427242,-0.10044232562297131,-0.09584213561131338,-0.004600190011657929,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,money_bucket,4,linked_deferred_event,162,137,-0.2121536046195977,-0.17867900161193145,-0.03347460300766625,-0.12063736298398586,-0.10884873579191583,-0.011788627192070036,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,money_bucket,unavailable,linked_deferred_event,2,2,-0.19630343362749267,-0.006458856848777522,-0.18984457677871514,-0.16258378383021843,-0.06471122347964908,-0.09787256035056935,,,too_sparse
train,failed_lookalike_avoidance,industry_matched_baseline,vol20_bucket,unavailable,linked_deferred_event,253,214,-0.19218401404643143,-0.17446480826580194,-0.017719205780629493,-0.11277101141355447,-0.10127232792804042,-0.011498683485514055,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,ret_60d_bucket,unavailable,linked_deferred_event,253,214,-0.19218401404643143,-0.17446480826580194,-0.017719205780629493,-0.11277101141355447,-0.10127232792804042,-0.011498683485514055,,,interpretable
train,failed_lookalike_avoidance,industry_matched_baseline,industry_bucket,UNKNOWN,linked_deferred_event,1,0,0.27759516136416673,,,-0.0154935608731398,,,,,too_sparse
train,failed_lookalike_avoidance,industry_matched_baseline,industry_bucket,交通运输,linked_deferred_event,16,11,-0.18543548098471402,-0.0649624421495304,-0.12047303883518362,-0.11747918981419947,-0.06590542199125782,-0.05157376782294165,,,too_sparse
train,failed_lookalike_avoidance,industry_matched_baseline,industry_bucket,传媒,linked_deferred_event,4,4,-0.07864635405635115,-0.12762137804010287,0.048975023983751725,-0.09862231827171389,-0.11871080029552866,0.020088482023814774,,,too_sparse
train,failed_lookalike_avoidance,industry_matched_baseline,industry_bucket,公用事业,linked_deferred_event,10,4,-0.10246698393078793,-0.12542110854832392,0.022954124617535987,-0.11208057675046365,-0.10096671132410048,-0.011113865426363168,,,too_sparse
