arm_id,event_key,source_row_n,canonical_event_id_n,input_event_key_n,sample_id_n,representative_event_key,collapse_status,duplicate_reason,uniqueness_status
08_R6_event_regime_gated_raw,SH600016_20230504_risk_on_transition_union,1,1,1,1,SH600016_20230504_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20230719_risk_on_transition_union,1,1,1,1,SH600016_20230719_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20231106_risk_on_transition_union,1,1,1,1,SH600016_20231106_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20240711_risk_on_transition_union,1,1,1,1,SH600016_20240711_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20241119_risk_on_transition_union,1,1,1,1,SH600016_20241119_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20241230_risk_on_transition_union,1,1,1,1,SH600016_20241230_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20250529_risk_on_transition_union,1,1,1,1,SH600016_20250529_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20250703_risk_on_transition_union,1,1,1,1,SH600016_20250703_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600016_20251125_risk_on_transition_union,1,1,1,1,SH600016_20251125_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20180205_risk_on_transition_union,1,1,1,1,SH600018_20180205_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20190315_risk_on_transition_union,1,1,1,1,SH600018_20190315_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20190416_risk_on_transition_union,1,1,1,1,SH600018_20190416_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20190725_risk_on_transition_union,1,1,1,1,SH600018_20190725_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20191105_risk_on_transition_union,1,1,1,1,SH600018_20191105_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20201106_risk_on_transition_union,1,1,1,1,SH600018_20201106_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20210301_risk_on_transition_union,1,1,1,1,SH600018_20210301_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20210525_risk_on_transition_union,1,1,1,1,SH600018_20210525_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20210706_risk_on_transition_union,1,1,1,1,SH600018_20210706_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20210902_risk_on_transition_union,1,1,1,1,SH600018_20210902_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20211203_risk_on_transition_union,1,1,1,1,SH600018_20211203_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20220207_risk_on_transition_union,1,1,1,1,SH600018_20220207_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20220831_risk_on_transition_union,1,1,1,1,SH600018_20220831_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20230315_risk_on_transition_union,1,1,1,1,SH600018_20230315_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20230508_risk_on_transition_union,1,1,1,1,SH600018_20230508_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20230818_risk_on_transition_union,1,1,1,1,SH600018_20230818_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20231212_risk_on_transition_union,1,1,1,1,SH600018_20231212_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20240411_risk_on_transition_union,1,1,1,1,SH600018_20240411_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20240530_risk_on_transition_union,1,1,1,1,SH600018_20240530_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20240701_risk_on_transition_union,1,1,1,1,SH600018_20240701_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20241230_risk_on_transition_union,1,1,1,1,SH600018_20241230_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20250327_risk_on_transition_union,1,1,1,1,SH600018_20250327_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600018_20250530_risk_on_transition_union,1,1,1,1,SH600018_20250530_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600019_20191213_risk_on_transition_union,1,1,1,1,SH600019_20191213_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600019_20200911_risk_on_transition_union,1,1,1,1,SH600019_20200911_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600019_20201028_risk_on_transition_union,1,1,1,1,SH600019_20201028_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600019_20201202_risk_on_transition_union,1,1,1,1,SH600019_20201202_risk_on_transition_union,unique,,pass
08_R6_event_regime_gated_raw,SH600019_20210208_risk_on_transition_union,1,1,1,1,SH600019_20210208_risk_on_transition_union,unique,,pass
