fetched_at_utc,classification_year,effective_start_date,effective_end_date,classification_first_open_trade_date,source_snapshot_year,source_snapshot_trade_date,snapshot_policy,snapshot_trade_date,source_api,board_ts_code,board_name,idx_type,level,leading,leading_code,pct_change,leading_pct,total_mv,turnover_rate,up_num,down_num,trade_date
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1109.DC,供销社概念,概念板块,,亚钾国际,000893.SZ,0.25,4.07,15373322.6,1.96,6,7,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1108.DC,科创板做市股,概念板块,,博拓生物,688767.SH,3.72,20.01,235369144.0,1.36,41,4,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1107.DC,科创板做市商,概念板块,,华泰证券,601688.SH,1.62,3.22,215627152.0,0.98,14,0,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1106.DC,创新药,概念板块,,塞力医疗,603716.SH,3.98,10.02,358759985.6,2.36,150,6,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1104.DC,信创,概念板块,,王子新材,002735.SZ,2.62,9.98,434618188.8,4.85,211,33,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1103.DC,熔盐储能,概念板块,,东方电热,300217.SZ,0.79,2.51,10134702.6,1.82,8,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1102.DC,空气能热泵,概念板块,,雪人集团,002639.SZ,1.11,5.11,161848409.6,2.88,30,5,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1101.DC,Chiplet概念,概念板块,,佰维存储,688525.SH,2.98,8.11,116571760.0,4.77,27,2,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1100.DC,减速器,概念板块,,斯菱智驱,301550.SZ,0.05,16.08,118053710.4,6.13,33,46,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1099.DC,轮毂电机,概念板块,,安乃达,603350.SH,-0.38,0.95,7724489.0,2.34,5,4,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1098.DC,生物质能发电,概念板块,,高能环境,603588.SH,1.69,6.22,24077667.1,1.56,28,0,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1097.DC,TOPCon电池,概念板块,,奥特维,688516.SH,0.95,9.15,66754088.0,2.87,30,13,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1095.DC,钒电池,概念板块,,振华股份,603067.SH,1.49,10.0,59019435.2,1.78,18,3,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1094.DC,钙钛矿电池,概念板块,,德龙激光,688170.SH,0.63,6.55,69304968.0,2.79,23,14,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1093.DC,汽车一体化压铸,概念板块,,宜安科技,300328.SZ,0.6,5.51,41255126.4,2.45,20,10,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1092.DC,麒麟电池,概念板块,,富临精工,300432.SZ,2.83,6.83,184808168.0,4.08,8,0,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1090.DC,机器人概念,概念板块,,岩山科技,002195.SZ,1.77,10.01,1290330982.4,3.69,468,179,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1089.DC,汽车热管理,概念板块,,富临精工,300432.SZ,0.61,6.83,123480486.4,4.21,59,33,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1088.DC,F5G概念,概念板块,,创维数字,000810.SZ,1.87,7.3,133085835.2,2.13,20,4,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1087.DC,超超临界发电,概念板块,,中洲特材,300963.SZ,0.7,5.15,124964105.6,1.39,41,7,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1086.DC,粮食概念,概念板块,,海能技术,920476.BJ,0.34,3.43,24690661.4,2.89,19,11,20260105
2026-07-07T06:52:01Z,2026,2026-01-01,2026-12-31,20260105,2026,20260105,exact_year_first_open_snapshot,20260105,dc_index,BK1085.DC,痘病毒防治,概念板块,,谱尼测试,300887.SZ,4.56,20.0,63106232.0,2.82,53,1,20260105
