factor_id,horizon,train_mean_rankIC,direction_i
alpha129,H20,0.048299316820983346,1.0
alpha129,H3,0.018384469965733678,1.0
alpha129,H5,0.01864671026668819,1.0
alpha132,H1,0.0030676840922540605,1.0
alpha132,H10,-0.010963633880397157,-1.0
alpha132,H20,-0.009003152426693545,-1.0
alpha132,H3,-0.011313418785231736,-1.0
alpha132,H5,-0.01383610969118037,-1.0
alpha134,H1,0.00659059299551612,1.0
alpha134,H10,-0.00796020356755307,-1.0
alpha134,H20,-0.007213667320439899,-1.0
alpha134,H3,-0.006666645706218642,-1.0
alpha134,H5,-0.01616415015825109,-1.0
alpha135,H1,0.0024494799322164573,1.0
alpha135,H10,-0.015223224661311171,-1.0
alpha135,H20,-0.015000454824176003,-1.0
alpha135,H3,-0.01635399412372686,-1.0
alpha135,H5,-0.020006029968953343,-1.0
alpha137,H1,-0.03086824092098399,-1.0
alpha137,H10,-0.022429943245621278,-1.0
alpha137,H20,-0.016766732602036573,-1.0
alpha137,H3,-0.04805886374915266,-1.0
alpha137,H5,-0.03571570841383685,-1.0
alpha144,H1,0.0019698607824563392,1.0
alpha144,H10,0.006365659635288501,1.0
alpha144,H20,0.006091698058854631,1.0
alpha144,H3,0.00868061999143135,1.0
alpha144,H5,0.004371629328406568,1.0
alpha145,H1,-0.0016931176010012343,-1.0
alpha145,H10,-0.01751005466328625,-1.0
alpha145,H20,-0.01921312414184516,-1.0
alpha145,H3,0.0020363535442798095,1.0
alpha145,H5,-0.01039073239840858,-1.0
alpha146,H1,0.008097392341933655,1.0
alpha146,H10,0.008483219053380455,1.0
alpha146,H20,-0.005015313442946139,-1.0
alpha146,H3,0.0009464281270760256,1.0
alpha146,H5,0.00322141907770993,1.0
alpha150,H1,0.0035614105382296172,1.0
alpha150,H10,-0.02076554673008398,-1.0
alpha150,H20,-0.023168888853791536,-1.0
alpha150,H3,-0.014948236679466206,-1.0
alpha150,H5,-0.022509458084665025,-1.0
alpha151,H1,0.004472743820702466,1.0
alpha151,H10,-0.0026051268154873887,-1.0
alpha151,H20,6.781128854407072e-05,1.0
alpha151,H3,-0.009627970310498214,-1.0
alpha151,H5,-0.009573939597064507,-1.0
alpha152,H1,0.00035463751571985266,1.0
alpha152,H10,-0.023196833877076543,-1.0
alpha152,H20,-0.02941525501269965,-1.0
alpha152,H3,-0.026260765906980565,-1.0
alpha152,H5,-0.019207051364569867,-1.0
alpha153,H1,0.0064881404845937895,1.0
alpha153,H10,0.0370094716384347,1.0
alpha153,H20,0.053308748734747564,1.0
alpha153,H3,0.01759552001775982,1.0
alpha153,H5,0.02315118995919968,1.0
alpha155,H1,-0.004715028045990229,-1.0
alpha155,H10,0.013599755042049117,1.0
alpha155,H20,0.00832448902351975,1.0
alpha155,H3,0.013510661920140644,1.0
alpha155,H5,0.013397928323710355,1.0
alpha156,H1,-0.0017993964710688985,-1.0
alpha156,H10,-0.0185230904727466,-1.0
alpha156,H20,-0.023288733627330735,-1.0
alpha156,H3,-0.015246124676265913,-1.0
alpha156,H5,-0.01024728723004132,-1.0
alpha158,H1,0.018085101732272967,1.0
alpha158,H10,0.00700696414496115,1.0
alpha158,H20,0.013070109169456565,1.0
alpha158,H3,0.007170388570211009,1.0
alpha158,H5,-0.0072722315650131176,-1.0
alpha159,H1,0.010843147199815415,1.0
alpha159,H10,0.0009503699660207213,1.0
alpha159,H20,0.010599991757791104,1.0
alpha159,H3,-0.0033537307372128364,-1.0
alpha159,H5,-0.014016083791695935,-1.0
alpha160,H1,0.009450495554358049,1.0
alpha160,H10,0.03502439054576652,1.0
alpha160,H20,0.04925094664191787,1.0
alpha160,H3,0.016788942610300693,1.0
alpha160,H5,0.019791200241336022,1.0
alpha161,H1,0.010119566113214738,1.0
alpha161,H10,0.032179338152797915,1.0
