segment_id,start_date,end_date,regime,trading_days,start_close,end_close,calendar_days,return_in_segment
128,2022-06-28,2022-06-28,risk_on,1,5386.11,5386.11,1,0.0
129,2022-06-29,2022-07-01,transition,3,5281.53,5336.14,3,0.010339806836276777
130,2022-07-04,2022-07-08,risk_on,5,5381.56,5308.52,5,-0.013572272723894163
131,2022-07-11,2022-07-19,transition,7,5231.29,5214.09,9,-0.0032879079538699063
132,2022-07-20,2022-08-02,risk_on,10,5252.89,5069.12,14,-0.03498455136125078
133,2022-08-03,2022-08-03,transition,1,5026.75,5026.75,1,0.0
134,2022-08-04,2022-08-30,risk_on,19,5069.67,5089.1,27,0.0038325965989898236
135,2022-08-31,2022-09-15,transition,11,5017.15,4951.87,16,-0.013011370997478622
136,2022-09-16,2022-11-14,risk_off,37,4836.37,4810.85,60,-0.005276684786316932
137,2022-11-15,2022-11-17,transition,3,4905.34,4869.63,3,-0.00727982158219409
138,2022-11-18,2022-11-28,risk_off,7,4842.81,4743.22,11,-0.020564506970126906
139,2022-11-29,2022-12-15,transition,13,4855.44,4919.81,17,0.013257294910451023
140,2022-12-16,2022-12-16,risk_on,1,4897.95,4897.95,1,0.0
141,2022-12-19,2022-12-23,risk_off,5,4806.92,4689.82,5,-0.02436071330498535
142,2022-12-26,2022-12-26,transition,1,4739.47,4739.47,1,0.0
143,2022-12-27,2022-12-27,risk_off,1,4782.14,4782.14,1,0.0
144,2022-12-28,2022-12-30,transition,3,4751.54,4756.62,3,0.0010691270619631599
145,2023-01-03,2023-04-20,risk_on,72,4815.92,5123.43,108,0.06385280486386824
146,2023-04-21,2023-06-15,transition,37,5003.55,4921.72,56,-0.016354388384247187
147,2023-06-16,2023-06-16,risk_on,1,4965.48,4965.48,1,0.0
148,2023-06-19,2023-08-03,transition,32,4949.89,4948.64,46,-0.00025253086432219796
149,2023-08-04,2023-08-04,risk_on,1,4967.31,4967.31,1,0.0
150,2023-08-07,2023-08-07,transition,1,4934.83,4934.83,1,0.0
151,2023-08-08,2023-08-08,risk_on,1,4918.2,4918.2,1,0.0
152,2023-08-09,2023-08-18,transition,8,4889.41,4683.69,10,-0.042074606138573056
153,2023-08-21,2023-08-21,risk_off,1,4630.06,4630.06,1,0.0
154,2023-08-22,2023-08-22,transition,1,4661.4,4661.4,1,0.0
155,2023-08-23,2023-08-28,risk_off,4,4579.47,4598.06,6,0.004059421723474621
156,2023-08-29,2023-09-12,transition,11,4690.31,4693.46,15,0.0006715973997453162
157,2023-09-13,2023-10-27,risk_off,27,4651.33,4490.1,45,-0.03466320385782118
158,2023-10-30,2023-10-30,transition,1,4533.61,4533.61,1,0.0
159,2023-10-31,2023-11-01,risk_off,2,4515.15,4513.0,2,-0.0004761746564343472
160,2023-11-02,2023-11-22,transition,15,4477.81,4567.24,21,0.019971816579979818
161,2023-11-23,2023-11-23,risk_on,1,4600.5,4600.5,1,0.0
162,2023-11-24,2023-12-04,transition,7,4558.18,4516.04,11,-0.009244917927769492
163,2023-12-05,2023-12-08,risk_off,4,4431.26,4433.67,4,0.0005438633706891238
164,2023-12-11,2023-12-12,transition,2,4473.18,4483.39,2,0.0022824925444537847
165,2023-12-13,2024-02-29,risk_off,50,4429.42,4251.41,79,-0.04018810589196786
166,2024-03-01,2024-03-06,transition,4,4286.5,4288.04,6,0.0003592674676309304
167,2024-03-07,2024-03-07,risk_off,1,4249.46,4249.46,1,0.0
168,2024-03-08,2024-03-15,transition,6,4285.62,4372.02,8,0.020160443529757766
