state_id,split_bucket,drift_axis,bucket_id,treated_n,treated_share,native_share,complement_share,treated_minus_native_share,treated_minus_complement_share,drift_status
repair_range_participation_core_30,validation,compression_severity,median_ratio,2627,0.669113680008991,1.0,0.6527596668368517,-0.33088631999100904,0.016354013172139248,primary_pass
repair_range_participation_core_30,robustness,board,chinext,4813,0.08518595470600457,0.1851945426983325,0.1890207550019475,-0.10000858799232792,-0.10383480029594294,primary_pass
repair_range_participation_core_30,robustness,board,main_board,4813,0.9148140452939955,0.8148054573016675,0.8109792449980525,0.10000858799232792,0.10383480029594294,primary_pass
repair_range_participation_core_30,robustness,year,2024,4813,0.2736339081653854,0.4108135421930268,0.4160618755017846,-0.13717963402764138,-0.14242796733639917,primary_pass
repair_range_participation_core_30,robustness,year,2025,4813,0.7263660918346145,0.5891864578069732,0.5839381244982155,0.13717963402764133,0.14242796733639906,primary_pass
repair_range_participation_core_30,robustness,regime,risk_on,4813,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_range_participation_core_30,robustness,liquidity,median_ratio,4813,0.7110728497693344,1.0,0.700795524609322,-0.2889271502306656,0.01027732516001234,primary_pass
repair_range_participation_core_30,robustness,compression_severity,median_ratio,4813,0.6584543711035169,1.0,0.640626954676484,-0.3415456288964831,0.017827416427032894,primary_pass
repair_sma_participation_core_30,train,board,chinext,6974,0.037711499856610264,0.19306807383968191,0.19823181774854637,-0.15535657398307165,-0.1605203178919361,primary_pass
repair_sma_participation_core_30,train,board,main_board,6974,0.9622885001433897,0.8069319261603181,0.8017681822514536,0.15535657398307168,0.1605203178919361,primary_pass
repair_sma_participation_core_30,train,year,2018,6974,0.0692572411815314,0.03670765796101368,0.035625774473358116,0.032549583220517715,0.03363146670817328,caveat_relative_drift
repair_sma_participation_core_30,train,year,2019,6974,0.40737023229136793,0.23520484884268014,0.22948241349728338,0.1721653834486878,0.17788781879408455,caveat_relative_drift
repair_sma_participation_core_30,train,year,2020,6974,0.3135933467163751,0.3755869627388212,0.37764750738728436,-0.061993616022446074,-0.06405416067090924,caveat_relative_drift
repair_sma_participation_core_30,train,year,2021,6974,0.20977917981072555,0.352500530457485,0.3572443046420742,-0.14272135064675942,-0.14746512483134863,caveat_relative_drift
repair_sma_participation_core_30,train,regime,risk_on,6974,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_sma_participation_core_30,train,liquidity,median_ratio,6974,0.45474125240440905,1.0,0.4440970501830813,-0.545258747595591,0.010644202221327725,caveat_relative_drift
repair_sma_participation_core_30,train,compression_severity,median_ratio,6974,0.5282427356748978,1.0,0.5184237686886242,-0.47175726432510223,0.009818966986273603,primary_pass
repair_sma_participation_core_30,validation,board,chinext,2950,0.07389830508474576,0.1969432528096302,0.2031632880374248,-0.12304494772488445,-0.12926498295267905,primary_pass
repair_sma_participation_core_30,validation,board,main_board,2950,0.9261016949152543,0.8030567471903698,0.7968367119625752,0.1230449477248845,0.12926498295267908,primary_pass
repair_sma_participation_core_30,validation,year,2022,2950,0.20813559322033898,0.3787332604759652,0.3873571293932176,-0.17059766725562625,-0.17922153617287861,caveat_relative_drift
repair_sma_participation_core_30,validation,year,2023,2950,0.791864406779661,0.6212667395240348,0.6126428706067824,0.1705976672556262,0.17922153617287861,caveat_relative_drift
repair_sma_participation_core_30,validation,regime,risk_on,2950,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_sma_participation_core_30,validation,liquidity,median_ratio,2950,0.5807783726796912,1.0,0.560601022348407,-0.41922162732030877,0.020177350331284205,primary_pass
repair_sma_participation_core_30,validation,compression_severity,median_ratio,2950,0.6385837381734247,1.0,0.6211411722608812,-0.36141626182657527,0.01744256591254356,primary_pass
repair_sma_participation_core_30,robustness,board,chinext,5839,0.08032197294057201,0.1851945426983325,0.19010218393107595,-0.10487256975776048,-0.10978021099050393,primary_pass
repair_sma_participation_core_30,robustness,board,main_board,5839,0.919678027059428,0.8148054573016675,0.8098978160689241,0.10487256975776049,0.10978021099050395,primary_pass
repair_sma_participation_core_30,robustness,year,2024,5839,0.2486727179311526,0.4108135421930268,0.41840112201963536,-0.1621408242618742,-0.16972840408848278,caveat_relative_drift
repair_sma_participation_core_30,robustness,year,2025,5839,0.7513272820688474,0.5891864578069732,0.5815988779803647,0.16214082426187415,0.16972840408848267,caveat_relative_drift
repair_sma_participation_core_30,robustness,regime,risk_on,5839,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_sma_participation_core_30,robustness,liquidity,median_ratio,5839,0.6845354491605893,1.0,0.6710494045241266,-0.3154645508394107,0.013486044636462635,primary_pass
repair_sma_participation_core_30,robustness,compression_severity,median_ratio,5839,0.627681262839029,1.0,0.6071501422881527,-0.37231873716097097,0.02053112055087636,primary_pass
repair_close_position_participation_core_30,train,board,chinext,6876,0.03432228039557882,0.19306807383968191,0.19826789508284187,-0.15874579344410308,-0.16394561468726304,primary_pass
repair_close_position_participation_core_30,train,board,main_board,6876,0.9656777196044212,0.8069319261603181,0.8017321049171582,0.1587457934441031,0.16394561468726299,primary_pass
repair_close_position_participation_core_30,train,year,2018,6876,0.07169866201279813,0.03670765796101368,0.03556150496860679,0.03499100405178445,0.03613715704419134,caveat_relative_drift
repair_close_position_participation_core_30,train,year,2019,6876,0.41026759744037233,0.23520484884268014,0.2294705551691613,0.1750627485976922,0.18079704227121104,caveat_relative_drift
repair_close_position_participation_core_30,train,year,2020,6876,0.3113728912158232,0.3755869627388212,0.37769033622652654,-0.06421407152299802,-0.06631744501070336,caveat_relative_drift
repair_close_position_participation_core_30,train,year,2021,6876,0.2066608493310064,0.352500530457485,0.3572776036357054,-0.14583968112647858,-0.15061675430469898,caveat_relative_drift
repair_close_position_participation_core_30,train,regime,risk_on,6876,1.0,1.0,1.0,0.0,0.0,regime_single_bucket_caveat
repair_close_position_participation_core_30,train,liquidity,median_ratio,6876,0.4528830973489985,1.0,0.44254231996713594,-0.5471169026510014,0.010340777381862565,caveat_relative_drift
repair_close_position_participation_core_30,train,compression_severity,median_ratio,6876,0.5142651144655316,1.0,0.5048831735977583,-0.4857348855344684,0.00938194086777333,primary_pass
