policy_id,decision_date,vol_proxy,realized_capital_weight
F_MIX333_XD6_R025_C020,2024-10-31,missing,0.0363835210981
F_MIX333_XD6_R025_C020,2024-11-29,high,0
F_MIX333_XD6_R025_C020,2024-11-29,low,0.533069193692
F_MIX333_XD6_R025_C020,2024-11-29,middle,0.323240645746
F_MIX333_XD6_R025_C020,2024-11-29,missing,0.031452628943
F_MIX333_XD6_R025_C020,2024-12-31,high,0
F_MIX333_XD6_R025_C020,2024-12-31,low,0.518237536731
F_MIX333_XD6_R025_C020,2024-12-31,middle,0.341265164558
F_MIX333_XD6_R025_C020,2024-12-31,missing,0.0155501310718
F_MIX333_XD6_R025_C020,2025-01-27,high,0
F_MIX333_XD6_R025_C020,2025-01-27,low,0.475939437318
F_MIX333_XD6_R025_C020,2025-01-27,middle,0.361992319659
F_MIX333_XD6_R025_C020,2025-01-27,missing,0.0187534684506
F_MIX333_XD6_R025_C020,2025-02-28,high,0
F_MIX333_XD6_R025_C020,2025-02-28,low,0.475000083614
F_MIX333_XD6_R025_C020,2025-02-28,middle,0.3170394516
F_MIX333_XD6_R025_C020,2025-02-28,missing,0.0343554130824
F_MIX333_XD6_R025_C020,2025-03-31,high,0
F_MIX333_XD6_R025_C020,2025-03-31,low,0.471652712227
F_MIX333_XD6_R025_C020,2025-03-31,middle,0.31105967522
F_MIX333_XD6_R025_C020,2025-03-31,missing,0.0212646058681
F_MIX333_XD6_R025_C020,2025-04-30,high,0
F_MIX333_XD6_R025_C020,2025-04-30,low,0.451976411519
F_MIX333_XD6_R025_C020,2025-04-30,middle,0.319192859966
F_MIX333_XD6_R025_C020,2025-04-30,missing,0.0187857239372
F_MIX333_XD6_R025_C020,2025-05-30,high,0
F_MIX333_XD6_R025_C020,2025-05-30,low,0.445761797043
F_MIX333_XD6_R025_C020,2025-05-30,middle,0.3064102411
F_MIX333_XD6_R025_C020,2025-05-30,missing,0.0136386524527
F_MIX333_XD6_R025_C020,2025-06-30,high,0
F_MIX333_XD6_R025_C020,2025-06-30,low,0.439115591526
F_MIX333_XD6_R025_C020,2025-06-30,middle,0.30114119086
F_MIX333_XD6_R025_C020,2025-06-30,missing,0.0122691216916
F_MIX333_XD6_R025_C020,2025-07-31,high,0
F_MIX333_XD6_R025_C020,2025-07-31,low,0.433216413875
F_MIX333_XD6_R025_C020,2025-07-31,middle,0.290246972389
F_MIX333_XD6_R025_C020,2025-07-31,missing,0.0129596916925
F_MIX333_XD6_R025_C020,2025-08-29,high,0
F_MIX333_XD6_R025_C020,2025-08-29,low,0.422849198017
F_MIX333_XD6_R025_C020,2025-08-29,middle,0.281674563843
F_MIX333_XD6_R025_C020,2025-08-29,missing,0.0343154831083
F_MIX333_XD6_R025_C020,2025-09-30,high,0
F_MIX333_XD6_R025_C020,2025-09-30,low,0.416368993044
F_MIX333_XD6_R025_C020,2025-09-30,middle,0.265979132624
F_MIX333_XD6_R025_C020,2025-09-30,missing,0.0439671576112
F_MIX333_XD6_R025_C020,2025-10-31,high,0
F_MIX333_XD6_R025_C020,2025-10-31,low,0.400714815562
F_MIX333_XD6_R025_C020,2025-10-31,middle,0.26410418609
F_MIX333_XD6_R025_C020,2025-10-31,missing,0.0308971657115
F_MIX333_XD6_R025_C020,2025-11-28,high,0
F_MIX333_XD6_R025_C020,2025-11-28,low,0.400341775611
F_MIX333_XD6_R025_C020,2025-11-28,middle,0.259146681087
F_MIX333_XD6_R025_C020,2025-11-28,missing,0.022076840057
F_MIX333_XD6_R025_C020,2025-12-31,high,0
F_MIX333_XD6_R025_C020,2025-12-31,low,0.410519968676
F_MIX333_XD6_R025_C020,2025-12-31,middle,0.243712364885
F_MIX333_XD6_R025_C020,2025-12-31,missing,0.0215482735478
F_MIX333_XD6_R025_C020,2026-01-30,high,0
F_MIX333_XD6_R025_C020,2026-01-30,low,0.398409636669
F_MIX333_XD6_R025_C020,2026-01-30,middle,0.230765085833
F_MIX333_XD6_R025_C020,2026-01-30,missing,0.0374983106681
F_MIX333_XD6_R025_C020,2026-02-27,high,0
F_MIX333_XD6_R025_C020,2026-02-27,low,0.407525684097
F_MIX333_XD6_R025_C020,2026-02-27,middle,0.235810939995
F_MIX333_XD6_R025_C020,2026-02-27,missing,0.0202643275535
F_MIX333_XD6_R025_C020,2026-03-31,high,0
F_MIX333_XD6_R025_C020,2026-03-31,low,0.395668623283
F_MIX333_XD6_R025_C020,2026-03-31,middle,0.224776788678
F_MIX333_XD6_R025_C020,2026-03-31,missing,0.0213670487963
F_MIX333_XD6_R025_C030,2024-07-31,high,0
F_MIX333_XD6_R025_C030,2024-07-31,low,0.566468107136
F_MIX333_XD6_R025_C030,2024-07-31,middle,0.416825162039
F_MIX333_XD6_R025_C030,2024-07-31,missing,0
F_MIX333_XD6_R025_C030,2024-08-30,high,0
F_MIX333_XD6_R025_C030,2024-08-30,low,0.545189475932
F_MIX333_XD6_R025_C030,2024-08-30,middle,0.38517396547
F_MIX333_XD6_R025_C030,2024-08-30,missing,0.0235761449659
F_MIX333_XD6_R025_C030,2024-09-30,high,0
F_MIX333_XD6_R025_C030,2024-09-30,low,0.517511308784
F_MIX333_XD6_R025_C030,2024-09-30,middle,0.39350086187
F_MIX333_XD6_R025_C030,2024-09-30,missing,0.0188185589165
F_MIX333_XD6_R025_C030,2024-10-31,high,0
F_MIX333_XD6_R025_C030,2024-10-31,low,0.523596330062
F_MIX333_XD6_R025_C030,2024-10-31,middle,0.342646253055
F_MIX333_XD6_R025_C030,2024-10-31,missing,0.0363835210981
F_MIX333_XD6_R025_C030,2024-11-29,high,0
F_MIX333_XD6_R025_C030,2024-11-29,low,0.533069193692
F_MIX333_XD6_R025_C030,2024-11-29,middle,0.323240645746
F_MIX333_XD6_R025_C030,2024-11-29,missing,0.031452628943
F_MIX333_XD6_R025_C030,2024-12-31,high,0
F_MIX333_XD6_R025_C030,2024-12-31,low,0.518237536731
F_MIX333_XD6_R025_C030,2024-12-31,middle,0.341265164558
F_MIX333_XD6_R025_C030,2024-12-31,missing,0.0155501310718
F_MIX333_XD6_R025_C030,2025-01-27,high,0
F_MIX333_XD6_R025_C030,2025-01-27,low,0.475939437318
F_MIX333_XD6_R025_C030,2025-01-27,middle,0.361992319659
F_MIX333_XD6_R025_C030,2025-01-27,missing,0.0187534684506
F_MIX333_XD6_R025_C030,2025-02-28,high,0
F_MIX333_XD6_R025_C030,2025-02-28,low,0.475000083614
F_MIX333_XD6_R025_C030,2025-02-28,middle,0.3170394516
F_MIX333_XD6_R025_C030,2025-02-28,missing,0.0343554130824
F_MIX333_XD6_R025_C030,2025-03-31,high,0
F_MIX333_XD6_R025_C030,2025-03-31,low,0.471652712227
F_MIX333_XD6_R025_C030,2025-03-31,middle,0.31105967522
F_MIX333_XD6_R025_C030,2025-03-31,missing,0.0212646058681
F_MIX333_XD6_R025_C030,2025-04-30,high,0
F_MIX333_XD6_R025_C030,2025-04-30,low,0.451976411519
F_MIX333_XD6_R025_C030,2025-04-30,middle,0.319192859966
F_MIX333_XD6_R025_C030,2025-04-30,missing,0.0187857239372
F_MIX333_XD6_R025_C030,2025-05-30,high,0
F_MIX333_XD6_R025_C030,2025-05-30,low,0.445761797043
F_MIX333_XD6_R025_C030,2025-05-30,middle,0.3064102411
F_MIX333_XD6_R025_C030,2025-05-30,missing,0.0136386524527
F_MIX333_XD6_R025_C030,2025-06-30,high,0
F_MIX333_XD6_R025_C030,2025-06-30,low,0.439115591526
F_MIX333_XD6_R025_C030,2025-06-30,middle,0.30114119086
F_MIX333_XD6_R025_C030,2025-06-30,missing,0.0122691216916
F_MIX333_XD6_R025_C030,2025-07-31,high,0
F_MIX333_XD6_R025_C030,2025-07-31,low,0.433216413875
F_MIX333_XD6_R025_C030,2025-07-31,middle,0.290246972389
F_MIX333_XD6_R025_C030,2025-07-31,missing,0.0129596916925
F_MIX333_XD6_R025_C030,2025-08-29,high,0
F_MIX333_XD6_R025_C030,2025-08-29,low,0.422849198017
F_MIX333_XD6_R025_C030,2025-08-29,middle,0.281674563843
