split,state_family_id,state_variant_id,action,horizon_id,mae_mean,mae_improvement_vs_no_action,drawdown_avoided_mean
train,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H10,0.022175363137834338,0.016409682849287316,0.016409682849287316
train,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H20,0.032288477981109884,0.024192390849292644,0.024192390849292644
train,volume_support_state,volume_support_money20_floor,reduce_to_0_50,H60,0.052468913548945784,0.03928183698897557,0.03928183698897557
train,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H5,0.0117472513909805,0.01726515637814014,0.01726515637814014
train,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H10,0.015611489998119416,0.022973555989002237,0.022973555989002237
train,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H20,0.022611521641392816,0.03386934718900971,0.03386934718900971
train,volume_support_state,volume_support_money20_floor,reduce_to_0_30,H60,0.03675617875335556,0.05499457178456579,0.05499457178456579
train,profit_buffer_state,profit_buffer_6pct,no_action,H5,0.03702539004578586,0.0,0.0
train,profit_buffer_state,profit_buffer_6pct,no_action,H10,0.05013846915478055,0.0,0.0
train,profit_buffer_state,profit_buffer_6pct,no_action,H20,0.07232270522642571,0.0,0.0
train,profit_buffer_state,profit_buffer_6pct,no_action,H60,0.11239839102045829,0.0,0.0
train,profit_buffer_state,profit_buffer_6pct,continue,H5,0.03702539004578586,-0.008674397433893321,-0.008674397433893321
train,profit_buffer_state,profit_buffer_6pct,continue,H10,0.05013846915478055,-0.012488694749081854,-0.012488694749081854
train,profit_buffer_state,profit_buffer_6pct,continue,H20,0.07232270522642571,-0.017340015992312968,-0.017340015992312968
train,profit_buffer_state,profit_buffer_6pct,continue,H60,0.11239839102045829,-0.02318929664698792,-0.02318929664698792
train,profit_buffer_state,profit_buffer_6pct,exit,H5,0.0,0.03702539004578586,0.03702539004578586
train,profit_buffer_state,profit_buffer_6pct,exit,H10,0.0,0.05013846915478055,0.05013846915478055
train,profit_buffer_state,profit_buffer_6pct,exit,H20,0.0,0.07232270522642571,0.07232270522642571
train,profit_buffer_state,profit_buffer_6pct,exit,H60,0.0,0.11239839102045829,0.11239839102045829
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H5,0.02131368665851892,0.01571170338726694,0.01571170338726694
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H10,0.028883716013549394,0.021254753141231153,0.021254753141231153
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H20,0.041293869428319585,0.031028835798106127,0.031028835798106127
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_50,H60,0.06440361466490072,0.04799477635555757,0.04799477635555757
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H5,0.015029005303612139,0.02199638474217372,0.02199638474217372
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H10,0.020381814757056933,0.029756654397723615,0.029756654397723615
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H20,0.028882335109077138,0.043440370117348574,0.043440370117348574
train,profit_buffer_state,profit_buffer_6pct,reduce_to_0_30,H60,0.04520570412267768,0.0671926868977806,0.0671926868977806
train,range_expansion_down_state,range_expansion_downside,no_action,H5,0.02696323099985938,0.0,0.0
train,range_expansion_down_state,range_expansion_downside,no_action,H10,0.03742767376162429,0.0,0.0
train,range_expansion_down_state,range_expansion_downside,no_action,H20,0.055465658770781946,0.0,0.0
train,range_expansion_down_state,range_expansion_downside,no_action,H60,0.08885634294680797,0.0,0.0
train,range_expansion_down_state,range_expansion_downside,continue,H5,0.02696323099985938,0.001387761612033158,0.001387761612033158
