scope_id,split,slice_type,board_bucket,primary_family_id,calendar_year,horizon_sessions,lower_barrier_pct,c0_complete_executable_event_n,c0_fast_fail_rate,random_fast_fail_rate_p05,random_fast_fail_rate_p50,random_fast_fail_rate_p95,r_core_fast_fail_rate,fast_fail_abs_delta_vs_random_p50,fast_fail_abs_delta_vs_r_core,fast_fail_relative_reduction_vs_random_p50,fast_fail_relative_reduction_vs_r_core,uplift_status,diagnostic_only_flag
risk_on_split,train,split,all,all,all,20,-0.08,8303.0,0.5128266891485005,0.46404913886547033,0.47278092255811155,0.48043478260869565,0.553721543842425,0.04004576659038894,-0.04089485469392451,-0.0847025856578778,0.07385454864216401,no_random_uplift,False
risk_on_split,train,split,all,all,all,20,-0.1,8303.0,0.418643863663736,0.3731542815849693,0.3803444538118752,0.38914247862218476,0.45916426336135485,0.03829940985186081,-0.040520399697618836,-0.10069664344521856,0.08824815633731042,no_random_uplift,False
risk_on_split,train,split,all,all,all,20,-0.12,8303.0,0.33819101529567624,0.2950620257738167,0.3021799349632663,0.3107370829820547,0.37282935509602994,0.03601108033240996,-0.03463833980035369,-0.11917098445595853,0.09290668593258133,no_random_uplift,False
risk_on_split,train,split,all,all,all,20,-0.15,8303.0,0.23750451643984102,0.20221606648199447,0.2089606166445863,0.21403107310610622,0.267043014051666,0.028543899795254735,-0.02953849761182495,-0.13659942363112387,0.11061325725641336,no_random_uplift,False
risk_on_split,train,split,all,all,all,20,-0.2,8303.0,0.12405154763338552,0.09261110442008912,0.09737444297241961,0.10193303625195713,0.13879855188071424,0.026677104660965914,-0.014747004247328721,-0.27396413110698825,0.10624753678988341,no_random_uplift,False
risk_on_split,validation,split,all,all,all,10,-0.06,2151.0,0.40446304044630405,0.3680613668061367,0.38447233844723383,0.39704788470478847,0.4325306678782372,0.019990701999070215,-0.02806762743193314,-0.051995163240628806,0.0648916470353832,no_random_uplift,False
risk_on_split,validation,split,all,all,all,10,-0.08,2151.0,0.26638772663877264,0.2296606229660623,0.24267782426778242,0.25664807066480705,0.2914584279872785,0.023709902370990216,-0.025070701348505864,-0.09770114942528729,0.0860181039252711,no_random_uplift,False
risk_on_split,validation,split,all,all,all,10,-0.1,2151.0,0.1794514179451418,0.13528591352859135,0.14690841469084148,0.1604137610413761,0.1946842344388914,0.03254300325430032,-0.015232816493749607,-0.221518987341772,0.07824370852448748,no_random_uplift,False
risk_on_split,validation,split,all,all,all,10,-0.12,2151.0,0.11297071129707113,0.07759181775918178,0.08763365876336587,0.09904695490469548,0.11949114039073148,0.02533705253370526,-0.0065204290936603515,-0.2891246684350133,0.05456830583705863,no_random_uplift,False
risk_on_split,validation,split,all,all,all,10,-0.15,2151.0,0.05439330543933055,0.03298465829846583,0.03951650395165039,0.04558344955834496,0.05860972285324852,0.014876801487680155,-0.004216417413917976,-0.37647058823529433,0.07194057928708109,no_random_uplift,False
risk_on_split,validation,split,all,all,all,10,-0.2,2151.0,0.017666201766620176,0.007415155741515574,0.009762900976290097,0.013040446304044629,0.0186278964107224,0.00790330079033008,-0.000961694644102222,-0.8095238095238095,0.05162658321143876,no_random_uplift,False
risk_on_split,validation,split,all,all,all,20,-0.06,2151.0,0.5685727568572757,0.5448396094839609,0.5574151557415156,0.5728963272896327,0.5958655156746934,0.01115760111576014,-0.02729275881741766,-0.020016680567139344,0.04580355482816334,no_random_uplift,False
risk_on_split,validation,split,all,all,all,20,-0.08,2151.0,0.44490934449093444,0.41373779637377966,0.4270106927010693,0.44588563458856345,0.4643343934575193,0.01789865178986516,-0.019425048966584868,-0.041916167664670656,0.04183418079789947,no_random_uplift,False
risk_on_split,validation,split,all,all,all,20,-0.1,2151.0,0.3398419339841934,0.2975127847512785,0.3126452812645281,0.32731287773128775,0.35052248977737394,0.02719665271966526,-0.010680555793180557,-0.08698884758364311,0.0304703866504088,no_random_uplift,False
risk_on_split,validation,split,all,all,all,20,-0.12,2151.0,0.24918642491864249,0.20871687587168758,0.22268712226871223,0.23619246861924686,0.2567014993184916,0.02649930264993025,-0.0075150743998491365,-0.1189979123173277,0.029275537617819425,no_random_uplift,False
risk_on_split,validation,split,all,all,all,20,-0.15,2151.0,0.15341701534170155,0.11713156671315667,0.12598791259879125,0.13668061366806136,0.15402089959109497,0.0274291027429103,-0.0006038842493934216,-0.21771217712177138,0.00392079419738911,no_random_uplift,False
risk_on_split,validation,split,all,all,all,20,-0.2,2151.0,0.06555090655509066,0.03765690376569038,0.043235704323570434,0.05116225011622501,0.06656065424806906,0.022315202231520226,-0.0010097476929784022,-0.5161290322580645,0.015170339059696003,no_random_uplift,False
risk_on_board,all,board,chinext,all,all,10,-0.06,3115.0,0.5534510433386838,0.4987800963081862,0.5118780096308186,0.52553772070626,0.5808684707363121,0.04157303370786514,-0.027417427397628313,-0.0812166823455629,0.0472007498752236,no_random_uplift,False
