split,event_scope,event_stage,family_group,family_id,component_id,non_null_event_count,null_event_count,weighted_non_null_event_count,component_true_rate,component_true_count
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,volume_stall_flag,39,0,39.0,0.05128205128205128,2
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,failed_breakout_flag,19,20,19.0,0.8947368421052632,17
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,dense_upper_shadow_flag,39,0,39.0,0.6666666666666666,26
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,down_volume_dominance_flag,39,0,39.0,0.358974358974359,14
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,ma20_break_no_reclaim_flag,21,18,21.0,0.23809523809523808,5
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,large_bearish_engulf_flag,39,0,39.0,0.28205128205128205,11
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,volatility_up_no_price_flag,27,12,27.0,0.1111111111111111,3
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,low_upside_efficiency_flag,27,12,27.0,0.14814814814814814,4
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,lower_low_lower_high_flag,39,0,39.0,0.1794871794871795,7
train,r03_clean_fresh_family_event,fresh_4plus,per_family,volume_money,gap_up_fade_flag,39,0,39.0,0.3076923076923077,12
train,r03_seed_family_event,seed_family,per_family,momentum_rps,volume_stall_flag,1613,43,1613.0,0.12585244885306882,203
