filter_id,split_bucket,treated_lower_first_rate,control_lower_first_rate,lower_first_uplift_vs_compression_control,treated_fast_fail_rate,control_fast_fail_rate,fast_fail_uplift_vs_compression_control,treated_same_bar_conflict_rate,median_upper_barrier_return,median_abs_lower_barrier_return,utility_proxy_per_entry,utility_proxy_total_indexed,utility_proxy_total_indexed_ci_low,compression_baseline_utility_total_indexed,utility_margin_vs_compression_baseline,utility_margin_vs_compression_baseline_ci_low,cost_buffer_return,cost_buffer_source,badside_status,utility_status,native_baseline_winner_rate,bootstrap_seed,bootstrap_resample_n,bootstrap_valid_replicates,bootstrap_ci_low_quantile,bootstrap_unit,ci_status
volume_up_price_not_down_5d__top_40pct,train,0.42170202952029523,0.4360945608302902,-0.01439253130999496,0.12229012915129152,0.14480107630213337,-0.022510947150841856,0.0,0.11059209822211949,0.055296049111059745,-0.006186919122646019,-0.0004949672281667046,-0.0006427229023482614,-0.0016645376993812033,0.0011695704712144988,0.0009697674867268671,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_40pct,validation,0.44756783182595944,0.503541730828457,-0.05597389900249755,0.10474211684184796,0.14659685863874344,-0.04185474179689548,0.0,0.10769460080837431,0.05384730040418716,-0.013948714280434161,-0.0018615880770958017,-0.002165555744326929,-0.006934174667082011,0.005072586589986209,0.004685380053763702,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_40pct,robustness,0.3505685856432125,0.34173191460884694,0.008836671034365584,0.11087420042643924,0.10402864217359299,0.0068455582528462455,0.0,0.10731178176497386,0.05365589088248693,-0.00606256522131004,-0.0007836859080695693,-0.0010146825696571347,-0.002672568108024259,0.0018888821999546897,0.0015599161983115553,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_30pct,train,0.4238929889298893,0.4330994036440315,-0.009206414714142186,0.11900369003690037,0.14299364106619222,-0.023989951029291856,0.0,0.11032555163881846,0.05516277581940923,-0.006251238174634242,-0.00037508467105013156,-0.0004923299625426783,-0.0016645376993812033,0.0012894530283310717,0.0010665405765593703,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_30pct,validation,0.434368325940529,0.5007630548735983,-0.0663947289330693,0.09692787908657795,0.14378607922500167,-0.04685820013842372,0.0,0.10673798944180021,0.053368994720900106,-0.01245495622175982,-0.0012366176541316982,-0.001472437013765249,-0.006934174667082011,0.0056975570129503125,0.005252139854549714,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_30pct,robustness,0.3538436159683273,0.3417999191825896,0.01204369678573769,0.1116793137578357,0.10468740980199734,0.0069919039558383606,0.0,0.10686224328212528,0.05343112164106264,-0.006130606664396817,-0.0005690620852216991,-0.0007554230362695949,-0.002672568108024259,0.00210350602280256,0.0017299981530350277,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_20pct,train,0.42481549815498154,0.43171793467293224,-0.006902436517950694,0.1191190036900369,0.1399659814916251,-0.020846977801588187,0.0,0.10900436197066221,0.054502180985331106,-0.0061788138792572295,-0.00024715939537495825,-0.00033782444023520617,-0.0016645376993812033,0.001417378304006245,0.0011734354974661022,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_20pct,validation,0.4277942631058358,0.4943905574383546,-0.06659629433251879,0.09297725024727992,0.1391258618674769,-0.046148611620197,0.0,0.10532209474479999,0.052661047372399995,-0.011198025805702472,-0.0007386565377242533,-0.0009165582624497724,-0.006934174667082011,0.006195518129357758,0.005718114764820677,0.01,lineage,pass,utility_fail,0.09591074428694929,13202,500,500,0.05,instrument_month_block,pass
volume_up_price_not_down_5d__top_20pct,robustness,0.35373978629792585,0.3431147752157671,0.010625011082158742,0.11275927089880579,0.10521705526214092,0.007542215636664865,0.0,0.10513661493600605,0.05256830746800303,-0.005294954755849382,-0.00032248736799104106,-0.00044970892737201967,-0.002672568108024259,0.002350080740033218,0.0019457991071345846,0.01,lineage,fail,utility_fail,0.1363712925107569,13202,500,500,0.05,instrument_month_block,pass
amount_ratio_5d_20d__top_50pct,train,0.4279981549815498,0.43267678398450116,-0.004678629002951351,0.12195571955719557,0.14963789842704922,-0.02768217886985365,0.0,0.11203117226341566,0.05601558613170783,-0.004525044879470067,-0.0004525170114805347,-0.0006551797340041172,-0.0016645376993812033,0.0012120206879006686,0.001059447095098912,0.01,lineage,pass,utility_fail,0.14517929462992518,13202,500,500,0.05,instrument_month_block,pass
