split,grouping_scheme,row_grain,outcome,bucket_count,sufficient_bucket_count,sufficient_bucket_ratio,covered_episode_count,covered_fresh_step_count,parent_grouping_scheme,weighted_abs_lift_vs_parent,weighted_signed_lift_vs_parent,max_abs_lift_vs_parent,median_abs_lift_vs_parent,sample_sufficiency_status,interpretability_status
validation,family_presence_after_step,fresh_step,fresh_anchor_big_winner_rate,18,12,0.6666666666666666,2999,3150.0,fresh_step_base,0.00994581716984314,2.6133496521209043e-18,0.07443482443482444,0.013001561545250864,sufficient,comparable
validation,family_presence_after_step,fresh_step,fresh_P_good_minus_P_bad,18,12,0.6666666666666666,2999,3150.0,fresh_step_base,0.11529926759371525,-2.5817055397016157e-17,0.42587906298925726,0.11151199463510303,sufficient,comparable
validation,family_presence_after_step,fresh_step,fresh_max_gain_120d_p50,18,12,0.6666666666666666,2999,3150.0,fresh_step_base,0.010348069745438655,0.00047476263572036973,0.05925790759057653,0.0107400192459891,sufficient,comparable
validation,family_presence_after_step,fresh_step,fresh_max_drawdown_120d_p50,18,12,0.6666666666666666,2999,3150.0,fresh_step_base,0.043449898587584405,-0.0018562561222630922,0.11232999231586871,0.0572168998684585,sufficient,comparable
robustness,family_presence_after_step,fresh_step,seed_anchor_big_winner_rate,18,11,0.6111111111111112,3363,3602.0,fresh_step_base,0.04384541172146725,-8.6424546827108e-18,0.15050819413803967,0.05325814536340852,sufficient,comparable
robustness,family_presence_after_step,fresh_step,seed_P_good_minus_P_bad,18,11,0.6111111111111112,3363,3602.0,fresh_step_base,0.20082504325259512,4.9633499924418765e-17,0.5160294117647058,0.19459105560032222,sufficient,comparable
robustness,family_presence_after_step,fresh_step,fresh_anchor_big_winner_rate,18,11,0.6111111111111112,3363,3602.0,fresh_step_base,0.022784582763538296,2.480945306424931e-18,0.1408725724926842,0.03857187195176022,sufficient,comparable
robustness,family_presence_after_step,fresh_step,fresh_P_good_minus_P_bad,18,11,0.6111111111111112,3363,3602.0,fresh_step_base,0.10764231926735034,-3.0568198753426344e-17,0.32343171361238915,0.12363788345720794,sufficient,comparable
robustness,family_presence_after_step,fresh_step,fresh_max_gain_120d_p50,18,11,0.6111111111111112,3363,3602.0,fresh_step_base,0.019006681055603974,-0.003614187248678242,0.07984790573932463,0.03126837213919094,sufficient,comparable
robustness,family_presence_after_step,fresh_step,fresh_max_drawdown_120d_p50,18,11,0.6111111111111112,3363,3602.0,fresh_step_base,0.03440505674087732,-0.002560812829676659,0.09188729414208166,0.04384014642207748,sufficient,comparable
all,family_presence_after_step,fresh_step,seed_anchor_big_winner_rate,18,18,1.0,11666,12302.0,fresh_step_base,0.0567786286112078,1.6440982676472906e-17,0.13758904646755113,0.06119280097495864,sufficient,comparable
all,family_presence_after_step,fresh_step,seed_P_good_minus_P_bad,18,18,1.0,11666,12302.0,fresh_step_base,0.22456260712265722,1.71784281839855e-17,0.5251624998079198,0.18627551241764437,sufficient,comparable
all,family_presence_after_step,fresh_step,fresh_anchor_big_winner_rate,18,18,1.0,11666,12302.0,fresh_step_base,0.03361969211238823,3.71350860123393e-19,0.12761149314618767,0.0447274679158737,sufficient,comparable
all,family_presence_after_step,fresh_step,fresh_P_good_minus_P_bad,18,18,1.0,11666,12302.0,fresh_step_base,0.07059494791800704,-3.635977565039915e-17,0.21166507902768272,0.07678594185496751,sufficient,comparable
all,family_presence_after_step,fresh_step,fresh_max_gain_120d_p50,18,18,1.0,11666,12302.0,fresh_step_base,0.016560291889199552,0.000848378497464874,0.05041203870235589,0.028438067881483703,sufficient,comparable
all,family_presence_after_step,fresh_step,fresh_max_drawdown_120d_p50,18,18,1.0,11666,12302.0,fresh_step_base,0.039160057041065933,8.588323369997026e-05,0.0867436172743192,0.049610253201747403,sufficient,comparable
train,kth_offset_price_state_plus_family_presence,fresh_step,seed_anchor_big_winner_rate,505,6,0.011881188118811881,5550,5550.0,kth_offset_price_state,0.07190572233772632,-1.213623769813245e-19,0.9333333333333333,0.1168627450980392,thin_episode_denominator,comparable
train,kth_offset_price_state_plus_family_presence,fresh_step,seed_P_good_minus_P_bad,505,6,0.011881188118811881,5550,5550.0,kth_offset_price_state,0.15261211211562983,4.197529702278629e-18,1.8064516129032258,0.17655052264808366,thin_episode_denominator,comparable
