condition_group_id,family_id,grain,split,horizon,signal_count,complete_horizon_count,incomplete_horizon_count,endpoint_return_max,endpoint_return_min,endpoint_return_mean,endpoint_return_median,endpoint_return_p25,endpoint_return_p75,endpoint_return_positive_rate,path_max_return_mean,path_max_return_median,path_min_return_mean,path_min_return_median
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,robustness,5,3385,3342,43,0.5018282390647157,-0.31768028626957123,0.008122533903533848,-0.0012504995426915189,-0.029522774973615912,0.03073411031778639,0.4841412327947337,0.03641936818804842,0.018111257724083174,-0.020558414394990204,-0.017241444513996895
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,robustness,10,3385,3294,91,0.7906976357352222,-0.30452616278128675,0.010834657210496312,0.0006175973797926115,-0.03667728776196799,0.0461700451549833,0.5021250758955677,0.05583257654684014,0.03257977209846974,-0.03463661324092902,-0.028461529658390883
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,robustness,20,3385,3232,153,1.1464646257875941,-0.4069306631530444,0.016338766568673935,0.0018189075652832454,-0.053133560656023926,0.06898452167955332,0.5061881188118812,0.08371863115067409,0.052941173720662205,-0.05170115464812986,-0.040945597249295806
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,train,1,6267,6260,7,0.1225296230376054,-0.10965589646515483,0.002722692650123774,0.0,-0.01316004795332193,0.014711682410758542,0.48115015974440895,0.002722692650123774,0.0,0.002722692650123774,0.0
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,train,3,6267,6242,25,0.4051383821970489,-0.297123733834436,0.0038325792920046475,0.0,-0.02444506779898664,0.028568870812928915,0.49519384812560074,0.020998018586712505,0.012596242523183365,-0.014248563809999218,-0.012549572638643536
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,train,5,6267,6213,54,0.5102469119345194,-0.3757062063872768,0.004693302949360036,0.0006502099354632751,-0.0330661261365256,0.0379008377528236,0.5024947690326734,0.03342817361436471,0.02198555313496231,-0.025091985470178525,-0.01963019385580317
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,train,10,6267,6173,94,1.0569104751817893,-0.347617085963831,0.005808957589186924,-0.002257706447134189,-0.05032970782609458,0.05335217868200237,0.48533938117608943,0.05762529524534014,0.039512476682438624,-0.04471754875535696,-0.03460211109334793
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,train,20,6267,6044,223,1.1514465798834568,-0.4303842654008845,0.00862786709554168,-0.004805739903207651,-0.07459886275117819,0.07938296016729351,0.48064195896757117,0.09170663342504388,0.06391343300433294,-0.07088989764191989,-0.05563091638786466
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,validation,1,3237,3220,17,0.10752684243884003,-0.10013178044834503,0.00032141768025047206,-0.0018653214219924719,-0.013497896374991047,0.011185280848001466,0.44472049689440996,0.00032141768025047206,-0.0018653214219924719,0.00032141768025047206,-0.0018653214219924719
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,validation,3,3237,3199,38,0.3179892665347883,-0.22040460752380486,-0.0006509085952877236,-0.004207602991139869,-0.02511292124549408,0.020886658970613148,0.4435761175367302,0.015047999638138606,0.008287351037779445,-0.015544205370724932,-0.014340422336896474
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,validation,5,3237,3182,55,0.537448633058921,-0.24666378196943806,-0.0018044374444452613,-0.004822791269659066,-0.033917047479205376,0.0263105622284473,0.4569453174104337,0.025147167058238214,0.015268348612424543,-0.02607948508987153,-0.021421426554170675
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,validation,10,3237,3173,64,0.5236014811629726,-0.29045834089031786,-0.0067408081554889655,-0.008913640145489787,-0.05439004005358061,0.03482848658786719,0.4358651118815002,0.04131463412176647,0.026291022173290823,-0.045208608261461516,-0.03528501042001997
pullback_drawdown__and3__11795aa42e45,pullback_drawdown,episode,validation,20,3237,3146,91,0.710762342865586,-0.36687608939994354,-0.012998091024481146,-0.022282741155415287,-0.08108646398680924,0.04568098980985369,0.40654799745708836,0.06455344198730624,0.04140122920118561,-0.07338775131751121,-0.05956255350580619
range_breakout__and3__00e51295d9c3,range_breakout,episode,robustness,1,5128,5117,11,0.10461828249097693,-0.10169497552667062,0.0021079550732542437,0.0,-0.010079789017276464,0.011235982575773296,0.4778190345905804,0.0021079550732542437,0.0,0.0021079550732542437,0.0
range_breakout__and3__00e51295d9c3,range_breakout,episode,robustness,3,5128,5097,31,0.3309100266961871,-0.1673819224273918,0.005473390040952903,0.0006319260033091911,-0.01714554404733548,0.021381598038191507,0.503825779870512,0.0180122173402337,0.009236429842630844,-0.009935048239586932,-0.008339601185303636
range_breakout__and3__00e51295d9c3,range_breakout,episode,robustness,5,5128,5059,69,0.5018282390647157,-0.22643815026116432,0.007142859165656934,0.0,-0.024031265309029326,0.026517476413857266,0.49179679778612373,0.02929002257381017,0.015397048463038798,-0.017770700143930916,-0.01372997954229871
range_breakout__and3__00e51295d9c3,range_breakout,episode,robustness,10,5128,4982,146,0.7906976357352222,-0.27786609678753615,0.009322374763771405,0.0007389783900830782,-0.03156511085832364,0.038853103014493684,0.5034122842232035,0.04774839413923513,0.0279330014475605,-0.030367441110549433,-0.022460893298556495
range_breakout__and3__00e51295d9c3,range_breakout,episode,robustness,20,5128,4846,282,0.8433179075419375,-0.38643921136081616,0.013998503615828061,0.003053926861928402,-0.0490854992299021,0.06089237514115553,0.5115559224102353,0.07395699124649618,0.04767299689162807,-0.04686205801319054,-0.035246764422282695
range_breakout__and3__00e51295d9c3,range_breakout,episode,train,1,8431,8411,20,0.1225296230376054,-0.10963685253371025,0.0021639159211275538,0.0,-0.011406994445685659,0.01225217543765833,0.46427297586493876,0.0021639159211275538,0.0,0.0021639159211275538,0.0
range_breakout__and3__00e51295d9c3,range_breakout,episode,train,3,8431,8391,40,0.4051383821970489,-0.24935265217773095,0.003197416744452242,0.0,-0.021838521850882198,0.02477226173350977,0.48552020021451553,0.01853271608070423,0.010362746465985007,-0.01298777208684985,-0.010713310465533032
range_breakout__and3__00e51295d9c3,range_breakout,episode,train,5,8431,8344,87,0.5102469119345194,-0.2893643639756912,0.002522576756693414,-0.0011027232419258959,-0.030221907751248195,0.030561590934792993,0.48034515819750717,0.028801101135061236,0.017379386141298747,-0.022930516904190304,-0.01700520627413149
range_breakout__and3__00e51295d9c3,range_breakout,episode,train,10,8431,8292,139,1.057245024345138,-0.45799456500389046,0.00316681305389679,-0.00339579244804461,-0.042969100028058704,0.043019909983739,0.4717800289435601,0.05002411011869279,0.03176405253773784,-0.04090396650296378,-0.030220467217994484
range_breakout__and3__00e51295d9c3,range_breakout,episode,train,20,8431,8123,308,1.3083110716990105,-0.5429087549889142,0.006908617580482946,-0.005708386493952777,-0.0654326592190092,0.06558330073281848,0.4678074602979195,0.08069031144367089,0.051621621550119956,-0.06439539184704018,-0.04884320105311135
range_breakout__and3__00e51295d9c3,range_breakout,episode,validation,1,4690,4678,12,0.11130899830393726,-0.10021045048443744,0.00036978035808852194,-0.0010335729071865862,-0.010954016582754439,0.009610773229056013,0.44613082513894825,0.00036978035808852194,-0.0010335729071865862,0.00036978035808852194,-0.0010335729071865862
range_breakout__and3__00e51295d9c3,range_breakout,episode,validation,3,4690,4607,83,0.23397815705389147,-0.2702702667871647,0.00015994515183259903,-0.0023529950310202663,-0.020545562806941753,0.018640470808926946,0.4593010635988713,0.013443310135090656,0.007362015021482815,-0.012876544667871023,-0.010395010724771891
range_breakout__and3__00e51295d9c3,range_breakout,episode,validation,5,4690,4582,108,0.3278282724673587,-0.28648646732940586,-0.0006190519603705527,-0.002272133918049535,-0.02685524389239749,0.02361392657988559,0.4659537319947621,0.022176120641781667,0.013481161155938781,-0.02193250252287426,-0.016720891738107257
