split,grouping,J,K,skip_mode,month_count,loser_monthly_mean_return,winner_monthly_mean_return,monthly_mean_return,loser_long_only_after_cost_monthly_mean_return,loser_long_only_after_cost_t_stat_newey_west,loser_minus_winner_monthly_mean_return
validation,decile,1,1,no_skip,24,-0.0073952267724648356,-0.01960485781798498,0.012209631045520147,-0.017201272800376807,-1.1992925240260284,0.012209631045520145
validation,decile,1,1,skip1,24,-0.007819111731741336,-0.020491653575785366,0.012672541844044025,-0.017674540475702688,-1.1702251410081688,0.01267254184404403
validation,decile,1,6,no_skip,29,-0.008879066688871973,-0.01359040889595579,0.0047113422070838165,-0.011159171164411985,-1.399540510085568,0.004711342207083817
validation,decile,1,12,no_skip,35,-0.0026559627331301525,-0.007223659315251841,0.004567696582121689,-0.004339181935721647,-0.5015848996837086,0.004567696582121688
validation,decile,1,18,no_skip,41,-0.005998814868546263,-0.006437427851538212,0.0004386129829919518,-0.0074757296644547815,-1.5244646771203887,0.0004386129829919497
validation,decile,1,24,no_skip,47,0.0016081854032670092,-0.002122231177927787,0.003730416581194793,0.0002788218424808565,0.034255477975493435,0.0037304165811947966
validation,decile,1,30,no_skip,52,-0.00046123034698148665,0.001201239201694636,-0.0016624695486761214,-0.001642989346985143,-0.2740798968820195,-0.0016624695486761227
validation,decile,1,36,no_skip,52,0.0013284355086848356,-0.0026832165810534536,0.004011652089738289,0.00023536092088533077,0.03402475371763679,0.004011652089738289
validation,decile,1,42,no_skip,52,0.001618701262977175,-0.0004101954619133793,0.0020288967248905557,0.0006595867061929335,0.10093402075465076,0.0020288967248905544
validation,decile,1,48,no_skip,52,0.0016270220347383258,-0.0004238043209388159,0.0020508263556771418,0.0009793144317200356,0.14493040563058163,0.0020508263556771418
validation,decile,6,1,no_skip,24,-0.001789179882757258,-0.02577865930922618,0.02398947942646892,-0.007523181157582809,-0.4118252808288033,0.02398947942646892
validation,decile,6,6,no_skip,29,-0.011912114025539825,-0.008407973141662863,-0.0035041408838769597,-0.013886529493731653,-1.5200198762972987,-0.0035041408838769623
validation,decile,6,6,skip1,29,-0.0143200349547948,-0.00642115590292294,-0.007898879051871862,-0.016264022256015982,-1.9383908343731457,-0.007898879051871859
validation,decile,6,12,no_skip,35,-0.0021928414144878876,-0.0030776524551210235,0.0008848110406331353,-0.0035891588047963757,-0.36534480358139965,0.0008848110406331358
validation,decile,6,18,no_skip,41,-0.006888736236745444,-0.0022916004123257855,-0.004597135824419659,-0.008091613795285665,-1.699602203606418,-0.004597135824419658
